,row_close,levelCounter,trial_set,time_close,row_start,time_start,time,time_ms,ptcp,feedbackType,correctCounter,Change Flag
0,3024,0.0,1,2020-11-26 13:41:12.090,2369,2020-11-26 13:41:07.314,,4776.0,tsvr27,incongruent,0.0,3024
1,5871,1.0,1,2020-11-26 13:41:32.847,5115,2020-11-26 13:41:27.334,,5513.0,tsvr27,congruent,1.0,5871
2,8510,2.0,1,2020-11-26 13:41:52.089,7757,2020-11-26 13:41:46.596,,5493.0,tsvr27,congruent,2.0,8510
3,11536,3.0,1,2020-11-26 13:42:14.156,10456,2020-11-26 13:42:06.281,,7875.0,tsvr27,none,3.0,11536
4,14174,4.0,1,2020-11-26 13:42:33.390,13586,2020-11-26 13:42:29.102,,4288.0,tsvr27,incongruent,,
5,17781,5.0,1,2020-11-26 13:42:59.689,16213,2020-11-26 13:42:48.258,,11431.0,tsvr27,incongruent,4.0,17781
6,26359,6.0,1,2020-11-26 13:44:02.244,25642,2020-11-26 13:43:57.013,,5231.0,tsvr27,none,5.0,26358
7,29336,7.0,1,2020-11-26 13:44:23.955,28290,2020-11-26 13:44:16.329,,7626.0,tsvr27,congruent,6.0,29336
8,32287,8.0,1,2020-11-26 13:44:45.470,31246,2020-11-26 13:44:37.881,,7589.0,tsvr27,none,7.0,32287
9,35639,9.0,1,2020-11-26 13:45:09.910,34552,2020-11-26 13:45:01.984,,7926.0,tsvr27,none,8.0,35639
10,38815,10.0,1,2020-11-26 13:45:33.067,37638,2020-11-26 13:45:24.486,,8581.0,tsvr27,incongruent,9.0,38815
11,42049,11.0,1,2020-11-26 13:45:56.642,41118,2020-11-26 13:45:49.859,,6783.0,tsvr27,congruent,10.0,42049
12,45112,12.0,1,2020-11-26 13:46:18.976,44289,2020-11-26 13:46:12.976,,6000.0,tsvr27,congruent,11.0,45112
13,48364,13.0,1,2020-11-26 13:46:42.686,47368,2020-11-26 13:46:35.424,,7262.0,tsvr27,incongruent,12.0,48364
