set,lvl,start,end,diff,ptcp,accuracy
1,0,2537,3192,4.92481203007519,22,0
1,1,5283,6039,5.68421052631579,22,0
1,2,7925,8678,5.66165413533835,22,0
1,4,13754,14342,4.42105263157895,22,1
1,6,25810,26527,5.39097744360902,22,0
1,14,50408,51202,5.96992481203007,22,0
1,17,58701,59497,5.98496240601504,22,0
1,18,61461,62208,5.61654135338346,22,0
1,24,79117,79672,4.17293233082707,22,0
1,27,87063,87640,4.33834586466165,22,0
1,28,89610,90373,5.73684210526316,22,0
1,31,97329,97910,4.36842105263158,22,0
1,33,110457,111117,4.96240601503759,22,0
1,34,112939,113583,4.84210526315789,22,0
2,1,121012,121741,5.4812030075188,22,0
2,6,136763,137366,4.53383458646617,22,0
2,7,139072,139864,5.95488721804511,22,0
2,9,144825,145598,5.81203007518797,22,0
2,10,147526,148219,5.21052631578947,22,0
2,11,150891,151537,4.85714285714286,22,0
2,12,153172,153882,5.33834586466165,22,0
2,15,161351,162114,5.73684210526316,22,0
2,18,169469,170134,5,22,0
2,19,171900,172661,5.7218045112782,22,0
2,21,176957,177616,4.95488721804511,22,0
2,23,182360,183054,5.21804511278195,22,0
2,24,184859,185497,4.79699248120301,22,0
2,25,187267,188065,6,22,0
2,26,189885,190628,5.58646616541353,22,0
2,27,192476,193151,5.07518796992481,22,0
2,29,197516,198118,4.52631578947368,22,0
2,30,199960,200679,5.40601503759398,22,0
2,31,202476,203178,5.2781954887218,22,0
2,33,207485,208132,4.86466165413534,22,0
2,34,209839,210491,4.90225563909774,22,0
3,1,217389,217976,4.41353383458647,22,0
3,3,222375,222986,4.59398496240602,22,0
3,4,224760,225368,4.57142857142857,22,0
3,5,227106,227723,4.6390977443609,22,0
3,7,232062,232672,4.58646616541353,22,0
3,9,239334,239903,4.2781954887218,22,0
3,11,245121,245664,4.08270676691729,22,0
3,12,247499,248186,5.16541353383459,22,0
3,13,249974,250756,5.8796992481203,22,0
3,15,255286,255876,4.43609022556391,22,0
3,17,260798,261466,5.02255639097744,22,0
3,18,263280,263975,5.22556390977444,22,0
3,20,268520,269170,4.88721804511278,22,0
3,21,270933,271730,5.99248120300752,22,0
3,22,273483,274035,4.15037593984962,22,0
3,26,283719,284386,5.01503759398496,22,0
3,27,286197,286974,5.84210526315789,22,0
3,28,288626,289230,4.54135338345865,22,0
3,30,299267,299883,4.63157894736842,22,0
3,31,301652,302169,3.88721804511278,22,0
3,32,303863,304643,5.86466165413534,22,0
1,1,6769,7545,5.83458646616541,21,0
1,4,17317,17737,3.15789473684211,21,0
1,5,19650,20086,3.2781954887218,21,0
1,6,21903,22321,3.14285714285714,21,0
1,7,24034,24478,3.33834586466165,21,0
1,9,29812,30335,3.93233082706767,21,0
1,14,51508,52218,5.33834586466165,21,0
1,17,62744,63209,3.49624060150376,21,1
1,19,68386,68818,3.24812030075188,21,0
1,20,71174,71613,3.30075187969925,21,0
1,21,73340,73829,3.67669172932331,21,0
1,22,75637,76190,4.15789473684211,21,0
1,23,78052,78742,5.18796992481203,21,0
1,25,83239,83740,3.76691729323308,21,0
1,26,85730,86253,3.93233082706767,21,0
1,29,95485,95917,3.24812030075188,21,0
1,30,98152,98816,4.99248120300752,21,0
1,31,100576,101008,3.24812030075188,21,0
1,32,102660,103262,4.52631578947368,21,0
1,33,105248,105843,4.47368421052632,21,0
1,34,107699,108399,5.26315789473684,21,1
2,0,113775,114222,3.3609022556391,21,0
2,1,116067,116495,3.21804511278195,21,0
2,3,121603,122034,3.2406015037594,21,0
2,4,124011,124441,3.23308270676692,21,0
2,5,126241,126675,3.26315789473684,21,0
2,6,128697,129130,3.25563909774436,21,0
2,7,131736,132181,3.34586466165414,21,0
2,8,133994,134429,3.27067669172932,21,0
2,9,136181,136697,3.8796992481203,21,0
2,10,138683,139211,3.96992481203007,21,0
2,11,141088,141599,3.84210526315789,21,0
2,12,143522,144065,4.08270676691729,21,0
2,13,146099,146566,3.51127819548872,21,0
2,14,148745,149192,3.3609022556391,21,0
2,15,151357,151820,3.4812030075188,21,0
2,16,153855,154319,3.48872180451128,21,0
2,17,156452,156880,3.21804511278195,21,0
2,18,158953,159425,3.54887218045113,21,0
2,19,161527,161951,3.18796992481203,21,0
2,20,163992,164460,3.5187969924812,21,0
2,21,166391,166871,3.60902255639098,21,0
2,22,168901,169330,3.22556390977444,21,0
2,23,171471,171968,3.73684210526316,21,0
2,24,174101,174555,3.41353383458647,21,0
2,25,176357,176803,3.35338345864662,21,0
2,26,178829,179254,3.19548872180451,21,0
2,27,181017,181493,3.57894736842105,21,0
2,28,183455,183956,3.76691729323308,21,0
2,29,185726,186151,3.19548872180451,21,0
2,31,191305,191762,3.43609022556391,21,0
2,32,193609,194044,3.27067669172932,21,0
2,33,195903,196411,3.81954887218045,21,0
2,34,198405,198984,4.35338345864662,21,1
3,0,204353,204788,3.27067669172932,21,0
3,1,206844,207341,3.73684210526316,21,0
3,2,209261,209769,3.81954887218045,21,1
3,3,211793,212285,3.69924812030075,21,0
3,4,213946,214431,3.64661654135338,21,0
3,5,216094,216561,3.51127819548872,21,0
3,6,218637,219168,3.99248120300752,21,0
3,7,220815,221259,3.33834586466165,21,0
3,8,223044,223471,3.21052631578947,21,0
3,9,225255,225785,3.98496240601504,21,0
3,10,227738,228214,3.57894736842105,21,0
3,12,232918,233379,3.46616541353383,21,0
3,13,235217,235685,3.5187969924812,21,0
3,14,237500,237965,3.49624060150376,21,0
3,15,239875,240311,3.2781954887218,21,0
3,16,242103,242561,3.44360902255639,21,0
3,17,244266,244728,3.47368421052632,21,0
3,18,246873,247354,3.61654135338346,21,0
3,19,249342,249809,3.51127819548872,21,0
3,20,251959,252422,3.4812030075188,21,0
3,21,254415,254922,3.81203007518797,21,0
3,22,256853,257314,3.46616541353383,21,0
3,23,259154,259589,3.27067669172932,21,0
3,24,261489,261968,3.6015037593985,21,0
3,25,263785,264243,3.44360902255639,21,0
3,26,266033,266744,5.34586466165414,21,0
3,27,268572,269031,3.45112781954887,21,0
3,28,270858,271355,3.73684210526316,21,0
3,29,273176,273650,3.56390977443609,21,1
3,30,275529,276074,4.09774436090226,21,0
3,31,281008,281486,3.59398496240602,21,0
3,32,283314,283819,3.79699248120301,21,0
3,33,285700,286185,3.64661654135338,21,0
3,34,287986,288409,3.18045112781955,21,0
1,0,3853,4415,4.22556390977444,20,0
1,1,6661,7256,4.47368421052632,20,0
1,2,9291,9977,5.15789473684211,20,0
1,3,11840,12446,4.55639097744361,20,0
1,4,14526,15316,5.93984962406015,20,0
1,5,17196,17982,5.90977443609023,20,0
1,7,22496,23132,4.78195488721805,20,0
1,8,24972,25647,5.07518796992481,20,0
1,9,27525,28206,5.1203007518797,20,0
1,10,30106,30660,4.16541353383459,20,0
1,11,32415,33048,4.7593984962406,20,0
1,12,34856,35566,5.33834586466165,20,1
1,13,37446,38199,5.66165413533835,20,0
1,14,40047,40529,3.62406015037594,20,0
1,15,42390,42879,3.67669172932331,20,0
1,16,44822,45426,4.54135338345865,20,0
1,17,47101,47752,4.89473684210526,20,0
1,18,49926,50590,4.99248120300752,20,0
1,22,61789,62298,3.82706766917293,20,0
1,24,66855,67433,4.34586466165414,20,0
1,26,72474,72978,3.78947368421053,20,0
1,27,74683,75201,3.89473684210526,20,0
1,28,77494,77988,3.71428571428571,20,0
1,29,79832,80483,4.89473684210526,20,0
1,30,82538,83209,5.04511278195489,20,0
1,31,85307,85966,4.95488721804511,20,0
1,32,87744,88306,4.22556390977444,20,0
1,33,90521,91147,4.70676691729323,20,0
1,34,92953,93561,4.57142857142857,20,0
2,0,103041,103674,4.7593984962406,20,0
2,1,105541,106205,4.99248120300752,20,0
2,3,110713,111407,5.21804511278195,20,0
2,4,113192,113832,4.81203007518797,20,1
2,5,NaN,116666,NaN,20,0
2,6,118375,119006,4.74436090225564,20,0
2,7,120759,121285,3.95488721804511,20,0
2,8,123140,123748,4.57142857142857,20,0
2,9,125563,126140,4.33834586466165,20,0
2,10,127946,128551,4.54887218045113,20,0
2,11,130404,131027,4.68421052631579,20,0
2,12,132815,133342,3.96240601503759,20,0
2,13,135740,136397,4.93984962406015,20,0
2,15,140688,141307,4.65413533834586,20,1
2,16,NaN,143760,NaN,20,0
2,18,148214,148924,5.33834586466165,20,0
2,19,150792,151457,5,20,0
2,20,153296,153828,4,20,0
2,21,155687,156390,5.28571428571429,20,0
2,23,160852,161422,4.28571428571429,20,0
2,24,163271,163795,3.93984962406015,20,0
