,row_close,levelCounter,trial_set,time_close,row_start,time_start,time_ms,ptcp,feedbackType,correctCounter,Change Flag
0,2879,0.0,1,2020-09-18 16:26:46.684,2426.0,2020-09-18 16:26:43.379,3305.0,tsvr07,incongruent,0.0,2879
1,5248,1.0,1,2020-09-18 16:27:03.969,4820.0,2020-09-18 16:27:00.843,3126.0,tsvr07,incongruent,1.0,5248
2,7382,2.0,1,2020-09-18 16:27:19.536,6953.0,2020-09-18 16:27:16.407,3129.0,tsvr07,congruent,2.0,7382
3,9600,3.0,1,2020-09-18 16:27:35.719,9176.0,2020-09-18 16:27:32.626,3093.0,tsvr07,congruent,3.0,9600
4,11729,4.0,1,2020-09-18 16:27:51.250,11299.0,2020-09-18 16:27:48.112,3138.0,tsvr07,none,4.0,11729
5,13952,5.0,1,2020-09-18 16:28:07.469,13498.0,2020-09-18 16:28:04.156,3313.0,tsvr07,congruent,5.0,13952
6,16141,6.0,1,2020-09-18 16:28:23.438,15711.0,2020-09-18 16:28:20.301,3137.0,tsvr07,congruent,6.0,16141
7,19448,7.0,1,2020-09-18 16:28:47.566,17807.0,2020-09-18 16:28:35.594,11972.0,tsvr07,none,7.0,19448
8,22190,8.0,1,2020-09-18 16:29:07.574,21210.0,2020-09-18 16:29:00.423,7151.0,tsvr07,congruent,8.0,22190
9,24288,9.0,1,2020-09-18 16:29:22.880,23834.0,2020-09-18 16:29:19.566,3314.0,tsvr07,incongruent,9.0,24288
10,26585,10.0,1,2020-09-18 16:29:39.635,26152.0,2020-09-18 16:29:36.478,3157.0,tsvr07,incongruent,10.0,26584
11,28741,11.0,1,2020-09-18 16:29:55.367,28314.0,2020-09-18 16:29:52.250,3117.0,tsvr07,congruent,11.0,28741
12,33086,12.0,1,2020-09-18 16:30:27.060,30410.0,2020-09-18 16:30:07.544,19516.0,tsvr07,incongruent,12.0,33086
13,40600,13.0,1,2020-09-18 16:31:21.882,35677.0,2020-09-18 16:30:45.962,35920.0,tsvr07,none,13.0,40600
14,42730,14.0,1,2020-09-18 16:31:37.417,42275.0,2020-09-18 16:31:34.099,3318.0,tsvr07,none,14.0,42730
15,45894,15.0,1,2020-09-18 16:32:00.501,45465.0,2020-09-18 16:31:57.371,3130.0,tsvr07,incongruent,15.0,45894
16,48026,16.0,1,2020-09-18 16:32:16.056,47604.0,2020-09-18 16:32:12.976,3080.0,tsvr07,incongruent,16.0,48026
17,50069,17.0,1,2020-09-18 16:32:30.957,49639.0,2020-09-18 16:32:27.819,3138.0,tsvr07,congruent,17.0,50069
18,52362,18.0,1,2020-09-18 16:32:47.679,51898.0,2020-09-18 16:32:44.296,3383.0,tsvr07,none,18.0,52362
19,55059,19.0,1,2020-09-18 16:33:07.355,54588.0,2020-09-18 16:33:03.919,3436.0,tsvr07,none,19.0,55059
20,57288,20.0,1,2020-09-18 16:33:23.616,56866.0,2020-09-18 16:33:20.539,3077.0,tsvr07,incongruent,20.0,57288
21,59346,21.0,1,2020-09-18 16:33:38.631,58917.0,2020-09-18 16:33:35.501,3130.0,tsvr07,congruent,21.0,59346
22,62070,22.0,1,2020-09-18 16:33:58.499,61642.0,2020-09-18 16:33:55.378,3121.0,tsvr07,incongruent,22.0,62070
23,64505,23.0,1,2020-09-18 16:34:16.262,64072.0,2020-09-18 16:34:13.104,3158.0,tsvr07,none,23.0,64505
24,70407,24.0,1,2020-09-18 16:34:59.312,69980.0,2020-09-18 16:34:56.196,3116.0,tsvr07,incongruent,24.0,70407
25,72753,25.0,1,2020-09-18 16:35:16.424,72324.0,2020-09-18 16:35:13.295,3129.0,tsvr07,none,25.0,72753
26,74970,26.0,1,2020-09-18 16:35:32.599,74541.0,2020-09-18 16:35:29.469,3130.0,tsvr07,incongruent,26.0,74970
27,77138,27.0,1,2020-09-18 16:35:48.417,76694.0,2020-09-18 16:35:45.177,3240.0,tsvr07,congruent,27.0,77138
28,79234,28.0,1,2020-09-18 16:36:03.706,78800.0,2020-09-18 16:36:00.540,3166.0,tsvr07,none,28.0,79234
29,81862,29.0,1,2020-09-18 16:36:22.874,81428.0,2020-09-18 16:36:19.708,3166.0,tsvr07,congruent,29.0,81862
30,84669,30.0,1,2020-09-18 16:36:43.349,84239.0,2020-09-18 16:36:40.211,3138.0,tsvr07,congruent,,
31,86892,31.0,1,2020-09-18 16:36:59.564,86462.0,2020-09-18 16:36:56.430,3134.0,tsvr07,none,30.0,86892
32,89119,32.0,1,2020-09-18 16:37:15.811,88636.0,2020-09-18 16:37:12.289,3522.0,tsvr07,none,31.0,89119
33,95793,33.0,1,2020-09-18 16:38:04.498,95364.0,2020-09-18 16:38:01.368,3130.0,tsvr07,none,32.0,95793
34,98268,34.0,1,2020-09-18 16:38:22.551,97830.0,2020-09-18 16:38:19.357,3194.0,tsvr07,none,33.0,98268
35,100019,35.0,1,2020-09-18 16:38:35.326,,,,tsvr07,congruent,34.0,100019
36,102571,0.0,2,2020-09-18 16:10:04.881,102116.0,2020-09-18 16:10:01.563,3318.0,tsvr07,none,0.0,102571
37,105149,1.0,2,2020-09-18 16:10:23.685,104601.0,2020-09-18 16:10:19.687,3998.0,tsvr07,incongruent,,
38,107255,2.0,2,2020-09-18 16:10:39.044,106818.0,2020-09-18 16:10:35.857,3187.0,tsvr07,incongruent,1.0,107255
39,109886,3.0,2,2020-09-18 16:10:58.236,109376.0,2020-09-18 16:10:54.517,3719.0,tsvr07,none,2.0,109886
40,112443,4.0,2,2020-09-18 16:11:16.888,112003.0,2020-09-18 16:11:13.681,3207.0,tsvr07,none,3.0,112443
41,114733,5.0,2,2020-09-18 16:11:33.595,114242.0,2020-09-18 16:11:30.015,3580.0,tsvr07,incongruent,4.0,114732
42,120973,6.0,2,2020-09-18 16:12:19.119,120520.0,2020-09-18 16:12:15.814,3305.0,tsvr07,incongruent,5.0,120973
43,123473,7.0,2,2020-09-18 16:12:37.362,123037.0,2020-09-18 16:12:34.179,3183.0,tsvr07,incongruent,6.0,123473
44,125713,8.0,2,2020-09-18 16:12:53.704,125258.0,2020-09-18 16:12:50.382,3322.0,tsvr07,congruent,7.0,125713
45,127849,9.0,2,2020-09-18 16:13:09.284,127411.0,2020-09-18 16:13:06.089,3195.0,tsvr07,congruent,8.0,127849
46,130338,10.0,2,2020-09-18 16:13:27.444,129888.0,2020-09-18 16:13:24.164,3280.0,tsvr07,incongruent,9.0,130338
47,133066,11.0,2,2020-09-18 16:13:47.345,132568.0,2020-09-18 16:13:43.713,3632.0,tsvr07,none,10.0,133066
48,135249,12.0,2,2020-09-18 16:14:03.274,134817.0,2020-09-18 16:14:00.120,3154.0,tsvr07,none,11.0,135249
49,137460,13.0,2,2020-09-18 16:14:19.403,137012.0,2020-09-18 16:14:16.135,3268.0,tsvr07,none,12.0,137460
50,139681,14.0,2,2020-09-18 16:14:35.606,139232.0,2020-09-18 16:14:32.333,3273.0,tsvr07,none,13.0,139681
51,141989,15.0,2,2020-09-18 16:14:52.443,141557.0,2020-09-18 16:14:49.294,3149.0,tsvr07,none,14.0,141989
52,144187,16.0,2,2020-09-18 16:15:08.478,143741.0,2020-09-18 16:15:05.226,3252.0,tsvr07,congruent,15.0,144187
53,146515,17.0,2,2020-09-18 16:15:25.463,146084.0,2020-09-18 16:15:22.322,3141.0,tsvr07,incongruent,16.0,146515
54,148652,18.0,2,2020-09-18 16:15:41.052,148215.0,2020-09-18 16:15:37.865,3187.0,tsvr07,congruent,17.0,148652
55,153356,19.0,2,2020-09-18 16:16:15.370,152927.0,2020-09-18 16:16:12.241,3129.0,tsvr07,congruent,18.0,153356
56,155646,20.0,2,2020-09-18 16:16:32.077,155215.0,2020-09-18 16:16:28.935,3142.0,tsvr07,congruent,19.0,155646
57,158243,21.0,2,2020-09-18 16:16:51.023,157809.0,2020-09-18 16:16:47.858,3165.0,tsvr07,congruent,20.0,158243
58,161057,22.0,2,2020-09-18 16:17:11.555,160559.0,2020-09-18 16:17:07.923,3632.0,tsvr07,incongruent,21.0,161057
59,165293,23.0,2,2020-09-18 16:17:42.462,164819.0,2020-09-18 16:17:39.001,3461.0,tsvr07,incongruent,22.0,165293
60,175737,24.0,2,2020-09-18 16:18:58.655,167577.0,2020-09-18 16:17:59.123,59532.0,tsvr07,none,23.0,175737
61,178347,25.0,2,2020-09-18 16:19:17.696,177918.0,2020-09-18 16:19:14.571,3125.0,tsvr07,congruent,24.0,178347
62,182450,26.0,2,2020-09-18 16:19:47.632,181876.0,2020-09-18 16:19:43.446,4186.0,tsvr07,congruent,25.0,182450
63,184783,27.0,2,2020-09-18 16:20:04.650,184163.0,2020-09-18 16:20:00.128,4522.0,tsvr07,none,26.0,184783
64,187396,28.0,2,2020-09-18 16:20:23.712,186643.0,2020-09-18 16:20:18.219,5493.0,tsvr07,incongruent,,
65,192617,29.0,2,2020-09-18 16:21:01.802,192069.0,2020-09-18 16:20:57.804,3998.0,tsvr07,congruent,27.0,192617
66,195094,30.0,2,2020-09-18 16:21:19.868,194643.0,2020-09-18 16:21:16.579,3289.0,tsvr07,incongruent,28.0,195094
67,197329,31.0,2,2020-09-18 16:21:36.173,196893.0,2020-09-18 16:21:32.991,3182.0,tsvr07,congruent,29.0,197329
68,199585,32.0,2,2020-09-18 16:21:52.630,199113.0,2020-09-18 16:21:49.186,3444.0,tsvr07,none,30.0,199585
69,201859,33.0,2,2020-09-18 16:22:09.218,201348.0,2020-09-18 16:22:05.491,3727.0,tsvr07,congruent,31.0,201859
70,204227,34.0,2,2020-09-18 16:22:26.493,203486.0,2020-09-18 16:22:21.091,5402.0,tsvr07,none,32.0,204227
71,206250,35.0,2,2020-09-18 16:22:41.251,,,,tsvr07,incongruent,33.0,206250
72,209316,0.0,3,2020-09-18 15:29:34.193,208709.0,2020-09-18 15:29:29.777,4416.0,tsvr07,none,0.0,209315
73,213715,1.0,3,2020-09-18 15:30:06.217,213124.0,2020-09-18 15:30:01.917,4300.0,tsvr07,congruent,1.0,213715
74,217684,2.0,3,2020-09-18 15:30:35.130,216992.0,2020-09-18 15:30:30.087,5043.0,tsvr07,none,2.0,217684
